year,event,sex,position,name,country,mark
1983,100 metres,men,1,Carl Lewis,USA,10.07
1983,100 metres,men,2,Calvin Smith,USA,10.21
1983,100 metres,men,3,Emmit King,USA,10.24
1983,100 metres,men,4,Allan Wells,GBR,10.27
1983,100 metres,men,5,Juan Nuñez,DOM,10.29
1983,100 metres,men,6,Christian Haas,FRG,10.32
1983,100 metres,men,7,Paul Narracott,AUS,10.33
1983,100 metres,men,8,Desai Williams,CAN,10.36
1983,100 metres,women,1,Marlies Göhr,GDR,10.97
1983,100 metres,women,2,Marita Koch,GDR,11.02
1983,100 metres,women,3,Diane Williams,USA,11.06
1983,100 metres,women,4,Merlene Ottey,JAM,11.19
1983,100 metres,women,5,Angela Bailey,CAN,11.20
1983,100 metres,women,6,Helinä Marjamaa,FIN,11.24
1983,100 metres,women,7,Angella Taylor-Issajenko,CAN,11.30
1983,100 metres,women,,Evelyn Ashford,USA,DNF
1983,200 metres,men,1,Calvin Smith,USA,20.14
1983,200 metres,men,2,Elliott Quow,USA,20.41
1983,200 metres,men,3,Pietro Mennea,ITA,20.51
1983,200 metres,men,4,Allan Wells,GBR,20.52
1983,200 metres,men,5,Frank Emmelmann,GDR,20.55
1983,200 metres,men,6,Innocent Egbunike,NGR,20.63
1983,200 metres,men,7,Carlo Simionato,ITA,20.69
1983,200 metres,men,8,Joao Batista da Silva,BRA,20.80
1983,200 metres,women,1,Marita Koch,GDR,22.13
1983,200 metres,women,2,Merlene Ottey,JAM,22.19
1983,200 metres,women,3,Kathy Smallwood-Cook,GBR,22.37
1983,200 metres,women,4,Florence Griffith-Joyner,USA,22.46
1983,200 metres,women,5,Grace Jackson,JAM,22.63
1983,200 metres,women,6,Anelia Nuneva,BUL,22.68
1983,200 metres,women,7,Angela Bailey,CAN,22.93
1983,200 metres,women,8,Ewa Kasprzyk,POL,23.03
1983,400 metres,men,1,Bert Cameron,JAM,45.05
1983,400 metres,men,2,Michael Franks,USA,45.22
1983,400 metres,men,3,Sunder Nix,USA,45.24
1983,400 metres,men,4,Erwin Skamrahl,FRG,45.37
1983,400 metres,men,5,Hartmut Weber,FRG,45.49
1983,400 metres,men,6,Thomas Schönlebe,GDR,45.50
1983,400 metres,men,7,Michael Paul,TTO,45.80
1983,400 metres,men,8,Gerson A. Souza,BRA,45.91
1983,400 metres,women,1,Jarmila Kratochvílová,TCH,47.99
1983,400 metres,women,2,Tatána Kocembová,TCH,48.59
1983,400 metres,women,3,Mariya Kulchunova-Pinigina,URS,49.19
1983,400 metres,women,4,Gaby Bussmann,FRG,49.75
1983,400 metres,women,5,Marita Payne-Wiggins,CAN,50.06
1983,400 metres,women,6,Irina Baskakova,URS,50.48
1983,400 metres,women,7,Dagmar Rübsam-Neubauer,GDR,50.48
1983,400 metres,women,8,Rosalyn Bryant,USA,50.66
1983,800 metres,men,1,Willi Wülbeck,FRG,1:43.65
1983,800 metres,men,2,Rob Druppers,NED,1:44.20
1983,800 metres,men,3,Joaquim Cruz,BRA,1:44.27
1983,800 metres,men,4,Peter Elliott,GBR,1:44.87
1983,800 metres,men,5,James Robinson,USA,1:45.12
1983,800 metres,men,6,Agberto Guimarães,BRA,1:45.46
1983,800 metres,men,7,Hans-Peter Ferner,FRG,1:45.74
1983,800 metres,men,8,David Patrick,USA,1:46.56
1983,800 metres,women,1,Jarmila Kratochvílová,TCH,1:54.68
1983,800 metres,women,2,Lyubov Gurina,URS,1:56.11
1983,800 metres,women,3,Yekaterina Podkopayeva,URS,1:57.58
1983,800 metres,women,4,Margrit Klinger,FRG,1:58.11
1983,800 metres,women,5,Robin Campbell,USA,2:00.03
1983,800 metres,women,6,Doina Melinte,ROU,2:00.13
1983,800 metres,women,7,Milena Matejkovicova-Strnadová,TCH,2:01.72
1983,800 metres,women,8,Antje Schröder,GDR,2:02.13
1983,1500 metres,men,1,Steve Cram,GBR,3:41.59
1983,1500 metres,men,2,Steve Scott,USA,3:41.87
1983,1500 metres,men,3,Saïd Aouita,MAR,3:42.02
1983,1500 metres,men,4,Steve Ovett,GBR,3:42.34
1983,1500 metres,men,5,José Manuel Abascal,ESP,3:42.47
1983,1500 metres,men,6,Pierre Délèze,SUI,3:43.69
1983,1500 metres,men,7,Andreas Busse,GDR,3:43.72
1983,1500 metres,men,8,Dragan Zdravkovic,YUG,3:43.75
1983,1500 metres,men,9,John Walker,NZL,3:44.24
1983,1500 metres,men,10,Jan Kubista,TCH,3:44.30
1983,1500 metres,men,11,Uwe Becker,FRG,3:45.09
1983,1500 metres,men,12,Mike Boit,KEN,3:46.46
1983,1500 metres,women,1,Mary Slaney,USA,4:00.90
1983,1500 metres,women,2,Zamira Zaitseva,URS,4:01.19
1983,1500 metres,women,3,Yekaterina Podkopayeva,URS,4:02.25
1983,1500 metres,women,4,Ravilya Agletdinova-Kotovich,URS,4:02.67
1983,1500 metres,women,5,Wendy Sly,GBR,4:04.14
1983,1500 metres,women,6,Doina Melinte,ROU,4:04.42
1983,1500 metres,women,7,Gabriella Dorio,ITA,4:04.73
1983,1500 metres,women,8,Brit Lind-Petersen-McRoberts,CAN,4:05.73
1983,1500 metres,women,9,Christina Boxer-Cahill,GBR,4:06.74
1983,1500 metres,women,10,Cornelia Bürki,SUI,4:11.61
1983,1500 metres,women,11,Ivana Kubesova,TCH,4:15.12
1983,1500 metres,women,12,Maria Radu,ROU,4:19.03
1983,3000 metres,women,1,Mary Slaney,USA,8:34.62
1983,3000 metres,women,2,Brigitte Kraus,FRG,8:35.11
1983,3000 metres,women,3,Tatyana Kazankina,URS,8:35.13
1983,3000 metres,women,4,Svetlana Ulmasova,URS,8:35.55
1983,3000 metres,women,5,Wendy Sly,GBR,8:37.06
1983,3000 metres,women,6,Agnese Possamai,ITA,8:37.96
1983,3000 metres,women,7,Jane Furniss-Shields,GBR,8:45.69
1983,3000 metres,women,8,Natalya Artyomova,URS,8:47.98
1983,3000 metres,women,9,Aurora Cunha,POR,8:50.20
1983,3000 metres,women,10,Lynn Kanuka-Williams,CAN,8:50.20
1983,3000 metres,women,11,Cornelia Bürki,SUI,8:53.85
1983,3000 metres,women,12,Eva Ernström,SWE,8:57.59
1983,3000 metres,women,13,Christine Benning,GBR,8:58.01
1983,3000 metres,women,14,Lorraine Moller,NZL,9:02.19
1983,3000 metres,women,15,Alison Wiley,CAN,9:15.35
1983,5000 metres,men,1,Eamonn Coghlan,IRL,13:28.53
1983,5000 metres,men,2,Werner Schildhauer,GDR,13:30.20
1983,5000 metres,men,3,Martti Vainio,FIN,13:30.34
1983,5000 metres,men,4,Dmitriy Dmitriyev,URS,13:30.38
1983,5000 metres,men,5,Doug Padilla,USA,13:32.08
1983,5000 metres,men,6,Thomas Wessinghage,FRG,13:32.46
1983,5000 metres,men,7,Wodajo Bulti,ETH,13:34.03
1983,5000 metres,men,8,Dietmar Millonig,AUT,13:36.08
1983,5000 metres,men,9,Paul Kipkoech,KEN,13:37.44
1983,5000 metres,men,10,António Leitão,POR,13:38.55
1983,5000 metres,men,11,Valeriy Abramov,URS,13:39.80
1983,5000 metres,men,12,Markus Ryffel,SUI,13:39.98
1983,5000 metres,men,13,Salvatore Antibo,ITA,13:40.76
1983,5000 metres,men,14,Julian Goater,GBR,13:48.13
1983,5000 metres,men,15,Anatoliy Krokhmalyuk,URS,14:00.27
1983,10000 metres,men,1,Alberto Cova,ITA,28:01.04
1983,10000 metres,men,2,Werner Schildhauer,GDR,28:01.18
1983,10000 metres,men,3,Hansjörg Kunze,GDR,28:01.26
1983,10000 metres,men,4,Martti Vainio,FIN,28:01.37
1983,10000 metres,men,5,Gidamis Shahanga,TAN,28:01.93
1983,10000 metres,men,6,Carlos Lopes,POR,28:06.78
1983,10000 metres,men,7,Nick Rose,GBR,28:07.53
1983,10000 metres,men,8,Christoph Herle,FRG,28:09.05
1983,10000 metres,men,9,Mohamed Kedir,ETH,28:09.92
1983,10000 metres,men,10,Bekele Debele,ETH,28:11.13
1983,10000 metres,men,11,António Prieto,ESP,28:11.57
1983,10000 metres,men,12,Steve Jones,GBR,28:15.03
1983,10000 metres,men,13,Mark Nenow,USA,28:17.28
1983,10000 metres,men,14,Fernando Mamede,POR,28:18.39
1983,10000 metres,men,15,Bill McChesney,USA,28:34.46
1983,10000 metres,men,16,José Gomez,MEX,28:42.61
1983,10000 metres,men,17,Alberto Salazar,USA,28:48.42
1983,10000 metres,men,,Henrik Jørgensen,DEN,DNS
1983,marathon,men,1,Robert de Castella,AUS,2:10:03
1983,marathon,men,2,Kebede Balcha,ETH,2:10:27
1983,marathon,men,3,Waldemar Cierpinski,GDR,2:10:37
1983,marathon,men,4,Kjell-Erik Ståhl,SWE,2:10:38
1983,marathon,men,5,Agapius Masong,TAN,2:10:42
1983,marathon,men,6,Armand Parmentier,BEL,2:10:57
1983,marathon,men,7,Pier Giovanni Poli,ITA,2:11:05
1983,marathon,men,8,Hugh Jones,GBR,2:11:15
1983,marathon,men,9,Karel Lismont,BEL,2:11:24
1983,marathon,men,10,Stig Roar Husby,NOR,2:11:29
1983,marathon,men,11,Art Boileau,CAN,2:11:30
1983,marathon,men,12,Juan Carlos Traspaderne,ESP,2:11:34
1983,marathon,men,13,Marco Marchei,ITA,2:11:47
1983,marathon,men,14,Pertti Tiainen,FIN,2:12:11
1983,marathon,men,15,Juma Ikangaa,TAN,2:13:11
1983,marathon,men,16,Ryszard Marczak,POL,2:13:20
1983,marathon,men,17,Svend Erik Kristensen,DEN,2:13:34
1983,marathon,men,18,Ron Tabb,USA,2:13:38
1983,marathon,men,19,Henrik Jørgensen,DEN,2:14:10
1983,marathon,men,20,Hans Joachim Truppel,GDR,2:14:20
1983,marathon,men,21,Ricardo Ortega,ESP,2:14:46
1983,marathon,men,22,Tommy Persson,SWE,2:14:57
1983,marathon,men,23,Bruno Lafranchi,SUI,2:14:58
1983,marathon,men,24,Dave Edge,CAN,2:15:43
1983,marathon,men,25,Yuriy Pleshkov,URS,2:15:50
1983,marathon,men,26,Øyvind Dahl,NOR,2:16:02
1983,marathon,men,27,Paul Ballinger,NZL,2:16:06
1983,marathon,men,28,Jürgen Eberding,GDR,2:16:55
1983,marathon,men,29,Gerard Nijboer,NED,2:16:59
1983,marathon,men,30,Frederik Vandervennet,BEL,2:17:11
1983,marathon,men,31,Trevor Wright,NZL,2:17:31
1983,marathon,men,32,Mehmet Terzi,TUR,2:17:56
1983,marathon,men,33,Delfim Moreira,POR,2:18:27
1983,marathon,men,34,Jong-Hyong Li,PRK,2:18:51
1983,marathon,men,35,Yoshihiro Nishimura,JPN,2:18:56
1983,marathon,men,36,Cidalio Caetano,POR,2:19:21
1983,marathon,men,37,John Skovbjerg,DEN,2:19:44
1983,marathon,men,38,Jeff Coole,AUS,2:20:25
1983,marathon,men,39,Benji Durden,USA,2:20:38
1983,marathon,men,40,Chang-Sik So,PRK,2:20:43
1983,marathon,men,41,Wilson Theleso,BOT,2:21:36
1983,marathon,men,42,Hideki Kita,JPN,2:21:37
1983,marathon,men,43,Baikuntha Manandhar,NEP,2:21:43
1983,marathon,men,44,Henrik Sandstrom,FIN,2:21:56
1983,marathon,men,45,Rudi Verriet,NED,2:22:07
1983,marathon,men,46,Dominique Chauvelier,FRA,2:23:25
1983,marathon,men,47,Djama Robleh,DJI,2:24:04
1983,marathon,men,48,Gerry Helme,GBR,2:25:02
1983,marathon,men,49,Sam Hlawe,SWZ,2:26:42
1983,marathon,men,50,Jan-Iwar Westlund,SWE,2:27:05
1983,marathon,men,51,Carlos Carvajal,CHI,2:27:30
1983,marathon,men,52,Don Greig,NZL,2:27:37
1983,marathon,men,53,Luis Tipan,ECU,2:28:30
1983,marathon,men,54,Palmireno Campos,BRA,2:29:41
1983,marathon,men,55,Jan Fjaerestad,NOR,2:30:58
1983,marathon,men,56,Tavares Silva,POR,2:31:31
1983,marathon,men,57,Syrja Dalipi,ALB,2:31:40
1983,marathon,men,58,Raymond Swan,BER,2:33:20
1983,marathon,men,59,Chang-Ming Chen,TPE,2:34:00
1983,marathon,men,60,Agust Thorsteinsson,ISL,2:34:05
1983,marathon,men,61,José Jaime Hernandez,ESA,2:34:26
1983,marathon,men,62,Michael Lekhelsi,LES,2:52:01
1983,marathon,men,63,Said Toumane,COM,3:03:10
1983,marathon,men,,Ahmet Altun,TUR,DNF
1983,marathon,men,,Santiago De La Parte,ESP,DNF
1983,marathon,men,,Mike Gratton,GBR,DNF
1983,marathon,men,,Alfredo Maravilla,ARG,DNF
1983,marathon,men,,Ed Mendoza,USA,DNF
1983,marathon,men,,Giampaolo Messina,ITA,DNF
1983,marathon,men,,Dereje Nedi,ETH,DNF
1983,marathon,men,,Peter Quance,CAN,DNF
1983,marathon,men,,Ahmed Salah,DJI,DNF
1983,marathon,men,,Carlos Victorino,MEX,DNF
1983,marathon,men,,Grenville Wood,AUS,DNF
1983,marathon,men,,Antonio Villanueva,MEX,DNF
1983,marathon,men,,Ralf Salzmann,FRG,DNF
1983,marathon,men,,Gerhard Hartmann,AUT,DNF
1983,marathon,men,,Yair Karni,ISR,DNF
1983,marathon,men,,Koshiro Kawaguchi,JPN,DNF
1983,marathon,men,,Louis Kenny,IRL,DNF
1983,marathon,men,,Ramón López,PAR,DNF
1983,marathon,women,1,Grete Waitz,NOR,2:28:09
1983,marathon,women,2,Marianne Dickerson,USA,2:31:09
1983,marathon,women,3,Raisa Katyukova-Smekhnova,URS,2:31:13
1983,marathon,women,4,Rosa Mota,POR,2:31:50
