population,iso3
77006,AND
9630959,ARE
37172386,AFG
96286,ATG
13254,AIA
2866376,ALB
2951776,ARM
30809762,AGO
0,ATA
44494502,ARG
55465,ASM
8847037,AUT
24992369,AUS
105845,ABW
26711,ALA
9942334,AZE
3323929,BIH
286641,BRB
161356039,BGD
11422068,BEL
19751535,BFA
7000039,BGR
1569439,BHR
11175378,BDI
11485048,BEN
8450,BLM
63968,BMU
428962,BRN
11353142,BOL
18012,BES
209469333,BRA
385640,BHS
754394,BTN
0,BVT
2254126,BWA
9485386,BLR
383071,BLZ
37058856,CAN
628,CCK
84068091,COD
4666377,CAF
5244363,COG
8516543,CHE
25069229,CIV
21388,COK
18729160,CHL
25216237,CMR
1411778724,CHN
49648685,COL
4999441,CRI
11338138,CUB
543767,CPV
159849,CUW
1500,CXR
1189265,CYP
10625695,CZE
82927922,DEU
958920,DJI
5797446,DNK
71625,DMA
10627165,DOM
42228429,DZA
17084357,ECU
1320884,EST
98423595,EGY
273008,ESH
6209262,ERI
46723749,ESP
109224559,ETH
5518050,FIN
883483,FJI
2638,FLK
112640,FSM
48497,FRO
66987244,FRA
2119275,GAB
66488991,GBR
111454,GRD
3731000,GEO
195506,GUF
65228,GGY
29767108,GHA
33718,GIB
56025,GRL
2280102,GMB
12414318,GIN
443000,GLP
1308974,GNQ
10727668,GRC
30,SGS
17247807,GTM
165768,GUM
1874309,GNB
779004,GUY
7451000,HKG
0,HMD
9587522,HND
3871833,HRV
11123176,HTI
9768785,HUN
267663435,IDN
4853506,IRL
8883800,ISR
84077,IMN
1352617328,IND
4000,IOT
38433600,IRQ
81800269,IRN
353574,ISL
60431283,ITA
90812,JEY
2934855,JAM
9956011,JOR
126529100,JPN
51393010,KEN
6315800,KGZ
16249798,KHM
115847,KIR
832322,COM
52441,KNA
25549819,PRK
51635256,KOR
1845300,XKX
4137309,KWT
64174,CYM
18276499,KAZ
7061507,LAO
6848925,LBN
181889,LCA
37910,LIE
21670000,LKA
4818977,LBR
2108132,LSO
2789533,LTU
607728,LUX
1926542,LVA
6678567,LBY
36029138,MAR
38682,MCO
3545883,MDA
622345,MNE
37264,MAF
26262368,MDG
58413,MHL
2082958,MKD
19077690,MLI
53708395,MMR
3170208,MNG
631636,MAC
56882,MNP
432900,MTQ
4403319,MRT
9341,MSR
483530,MLT
1265303,MUS
515696,MDV
17563749,MWI
126190788,MEX
31528585,MYS
29495962,MOZ
2448255,NAM
284060,NCL
22442948,NER
1828,NFK
195874740,NGA
6465513,NIC
17231017,NLD
5314336,NOR
28087871,NPL
12704,NRU
2166,NIU
4885500,NZL
4829483,OMN
4176873,PAN
31989256,PER
277679,PYF
8606316,PNG
106651922,PHL
212215030,PAK
37978548,POL
7012,SPM
46,PCN
3195153,PRI
4569087,PSE
10281762,PRT
17907,PLW
6956071,PRY
2781677,QAT
776948,REU
19473936,ROU
6982084,SRB
144478050,RUS
12301939,RWA
33699947,SAU
652858,SLB
96762,SYC
41801533,SDN
8260490,SSD
10183175,SWE
5638676,SGP
7460,SHN
2067372,SVN
2550,SJM
5447011,SVK
7650154,SLE
33785,SMR
15854360,SEN
15008154,SOM
575991,SUR
197700,STP
6420744,SLV
40654,SXM
16906283,SYR
1136191,SWZ
37665,TCA
15477751,TCD
140,ATF
7889094,TGO
69428524,THA
9100837,TJK
1466,TKL
1267972,TLS
5850908,TKM
11565204,TUN
103197,TON
82319724,TUR
1389858,TTO
11508,TUV
23451837,TWN
56318348,TZA
44622516,UKR
42723139,UGA
0,UMI
327167434,USA
3449299,URY
32955400,UZB
921,VAT
110211,VCT
28870195,VEN
29802,VGB
106977,VIR
95540395,VNM
292680,VUT
16025,WLF
196130,WSM
28498687,YEM
279471,MYT
57779622,ZAF
17351822,ZMB
14439018,ZWE
10829175,SCG
300000,ANT
